,Diease_Code,Symptom_Code,Score
0,UMLS:C0020538,UMLS:C0008031,0
1,UMLS:C0020538,UMLS:C0392680,1
2,UMLS:C0020538,UMLS:C0012833,0
3,UMLS:C0020538,UMLS:C0004093,0
4,UMLS:C0020538,UMLS:C0085639,0
5,UMLS:C0020538,UMLS:C0039070,0
6,UMLS:C0020538,UMLS:C0042571,0
7,UMLS:C0020538,UMLS:C0038990,0
8,UMLS:C0020538,UMLS:C0030252,0
9,UMLS:C0020538,UMLS:C0027497,0
10,UMLS:C0020538,UMLS:C0002962,0
11,UMLS:C0020538,UMLS:C0438716,0
12,UMLS:C0011847,UMLS:C0032617,0
13,UMLS:C0011847,UMLS:C0085602,0
14,UMLS:C0011847,UMLS:C0392680,1
15,UMLS:C0011847,UMLS:C0008031,0
16,UMLS:C0011847,UMLS:C0004093,0
17,UMLS:C0011847,UMLS:C0027497,0
18,UMLS:C0011847,UMLS:C0085619,0
19,UMLS:C0011847,UMLS:C0034642,0
20,UMLS:C0011847,UMLS:C0038990,0
21,UMLS:C0011847,UMLS:C0241526,0
22,UMLS:C0011847,UMLS:C0856054,0
23,UMLS:C0011847,UMLS:C0042571,0
24,UMLS:C0011847,UMLS:C0042963,0
25,UMLS:C0011847,UMLS:C0553668,0
26,UMLS:C0011570,UMLS:C0424000,0
27,UMLS:C0011570,UMLS:C0438696,0
28,UMLS:C0011570,UMLS:C0233762,0
29,UMLS:C0011570,UMLS:C0150041,0
30,UMLS:C0011570,UMLS:C0424109,0
31,UMLS:C0011570,UMLS:C0917801,0
32,UMLS:C0011570,UMLS:C0424230,0
33,UMLS:C0011570,UMLS:C0022107,0
34,UMLS:C0011570,UMLS:C0312422,0
35,UMLS:C0011570,UMLS:C0344315,0
36,UMLS:C0011570,UMLS:C0233763,0
37,UMLS:C0011570,UMLS:C0233481,0
38,UMLS:C0011570,UMLS:C0085631,0
39,UMLS:C0011570,UMLS:C0040822,0
40,UMLS:C0011570,UMLS:C0728899,0
41,UMLS:C0011570,UMLS:C0424068,0
42,UMLS:C0011570,UMLS:C0455769,0
43,UMLS:C0011570,UMLS:C1299586,0
44,UMLS:C0011570,UMLS:C0028084,0
45,UMLS:C0011570,UMLS:C0235198,0
46,UMLS:C0011570,UMLS:C0237154,0
47,UMLS:C0010054,UMLS:C0008031,0
48,UMLS:C0010054,UMLS:C0002962,0
49,UMLS:C0010054,UMLS:C0392680,1
50,UMLS:C0010054,UMLS:C0086439,0
51,UMLS:C0010054,UMLS:C0038990,0
52,UMLS:C0010054,UMLS:C0438716,0
53,UMLS:C0010054,UMLS:C0231807,0
54,UMLS:C0010054,UMLS:C0085619,0
55,UMLS:C0010054,UMLS:C0232292,0
56,UMLS:C0032285,UMLS:C0010200,0
57,UMLS:C0032285,UMLS:C0015967,0
58,UMLS:C0032285,UMLS:C0029053,0
59,UMLS:C0032285,UMLS:C0392680,1
60,UMLS:C0032285,UMLS:C0034642,0
61,UMLS:C0032285,UMLS:C0239134,0
62,UMLS:C0032285,UMLS:C0008033,0
63,UMLS:C0032285,UMLS:C0457096,0
64,UMLS:C0032285,UMLS:C0238844,0
65,UMLS:C0032285,UMLS:C0085593,0
66,UMLS:C0032285,UMLS:C0035508,0
67,UMLS:C0032285,UMLS:C0457097,0
68,UMLS:C0032285,UMLS:C0850149,0
69,UMLS:C0032285,UMLS:C0043144,0
70,UMLS:C0032285,UMLS:C0019079,0
71,UMLS:C0032285,UMLS:C0476273,0
72,UMLS:C0032285,UMLS:C0231835,0
73,UMLS:C0032285,UMLS:C0231218,0
74,UMLS:C0032285,UMLS:C0028081,0
75,UMLS:C0018802,UMLS:C0392680,1
76,UMLS:C0018802,UMLS:C0085619,0
77,UMLS:C0018802,UMLS:C0240100,0
78,UMLS:C0018802,UMLS:C0034642,0
79,UMLS:C0018802,UMLS:C0013404,0
80,UMLS:C0018802,UMLS:C0010200,0
81,UMLS:C0018802,UMLS:C0043144,0
82,UMLS:C0038454,UMLS:C0013362,0
83,UMLS:C0038454,UMLS:C0004093,0
84,UMLS:C0038454,UMLS:C0234518,0
85,UMLS:C0038454,UMLS:C0427055,0
86,UMLS:C0038454,UMLS:C0018991,0
87,UMLS:C0038454,UMLS:C0241526,0
88,UMLS:C0038454,UMLS:C0036572,0
89,UMLS:C0038454,UMLS:C0028643,0
90,UMLS:C0004096,UMLS:C0043144,0
91,UMLS:C0004096,UMLS:C0010200,0
92,UMLS:C0004096,UMLS:C0392680,1
93,UMLS:C0004096,UMLS:C0232292,0
94,UMLS:C0004096,UMLS:C0850149,0
95,UMLS:C0004096,UMLS:C0008033,0
96,UMLS:C0004096,UMLS:C0239134,0
97,UMLS:C0004096,UMLS:C0436331,0
98,UMLS:C0004096,UMLS:C0476273,0
99,UMLS:C0027051,UMLS:C0008031,0
100,UMLS:C0027051,UMLS:C0520886,0
101,UMLS:C0027051,UMLS:C0038990,0
102,UMLS:C0027051,UMLS:C0392680,1
103,UMLS:C0027051,UMLS:C0520887,0
104,UMLS:C0027051,UMLS:C0086439,0
105,UMLS:C0027051,UMLS:C0002962,0
106,UMLS:C0027051,UMLS:C0438716,0
107,UMLS:C0027051,UMLS:C0520888,0
108,UMLS:C0027051,UMLS:C0085619,0
109,UMLS:C0027051,UMLS:C0034642,0
110,UMLS:C0027051,UMLS:C0232292,0
111,UMLS:C0027051,UMLS:C1305739,0
112,UMLS:C0027051,UMLS:C0030252,0
113,UMLS:C0027051,UMLS:C0013404,0
114,UMLS:C0027051,UMLS:C0235710,0
115,UMLS:C0027051,UMLS:C0428977,0
116,UMLS:C0027051,UMLS:C0039070,0
117,UMLS:C0020443,UMLS:C0030193,0
118,UMLS:C0020443,UMLS:C0008031,0
119,UMLS:C0020443,UMLS:C0038990,0
120,UMLS:C0020443,UMLS:C0337672,0
121,UMLS:C0020443,UMLS:C0438716,0
122,UMLS:C0020443,UMLS:C0039070,0
123,UMLS:C0020443,UMLS:C0028643,0
124,UMLS:C0020443,UMLS:C0235710,0
125,UMLS:C0020443,UMLS:C0392680,1
126,UMLS:C0020443,UMLS:C0520887,0
127,UMLS:C0020443,UMLS:C0233481,0
128,UMLS:C0020443,UMLS:C0520888,0
129,UMLS:C0020443,UMLS:C0428977,0
130,UMLS:C0020443,UMLS:C0013404,0
131,UMLS:C0021311,UMLS:C0015967,0
132,UMLS:C0021311,UMLS:C0041834,0
133,UMLS:C0021311,UMLS:C0029053,0
134,UMLS:C0021311,UMLS:C0019214,0
135,UMLS:C0021311,UMLS:C0085593,0
136,UMLS:C0021311,UMLS:C0033774,0
137,UMLS:C0021311,UMLS:C0011991,0
138,UMLS:C0021311,UMLS:C0549483,0
139,UMLS:C0021311,UMLS:C0038999,0
140,UMLS:C0021311,UMLS:C0030193,0
141,UMLS:C0021311,UMLS:C0277797,1
142,UMLS:C0021311,UMLS:C0010200,0
143,UMLS:C0042029,UMLS:C0015967,0
144,UMLS:C0042029,UMLS:C0013428,0
145,UMLS:C0042029,UMLS:C0018965,0
146,UMLS:C0042029,UMLS:C0235634,0
147,UMLS:C0042029,UMLS:C0023380,0
148,UMLS:C0042029,UMLS:C0004093,0
149,UMLS:C0042029,UMLS:C0020625,0
150,UMLS:C0042029,UMLS:C0578150,0
151,UMLS:C0042029,UMLS:C0476273,0
152,UMLS:C0042029,UMLS:C0241705,0
153,UMLS:C0042029,UMLS:C0856054,0
154,UMLS:C0042029,UMLS:C0239110,0
155,UMLS:C0002871,UMLS:C0085593,0
156,UMLS:C0002871,UMLS:C0744492,0
157,UMLS:C0002871,UMLS:C0746619,0
158,UMLS:C0002871,UMLS:C0013491,0
159,UMLS:C0002871,UMLS:C1269955,0
160,UMLS:C0002871,UMLS:C0019080,0
