,Disease,Count of Disease Occurrence,Symptom,Diease_Code,Symptom_Code
0,UMLS:C0020538_hypertensive disease,3363.0,UMLS:C0008031_pain chest,UMLS:C0020538,UMLS:C0008031
1,,,UMLS:C0392680_shortness of breath,UMLS:C0020538,UMLS:C0392680
2,,,UMLS:C0012833_dizziness,UMLS:C0020538,UMLS:C0012833
3,,,UMLS:C0004093_asthenia,UMLS:C0020538,UMLS:C0004093
4,,,UMLS:C0085639_fall,UMLS:C0020538,UMLS:C0085639
5,,,UMLS:C0039070_syncope,UMLS:C0020538,UMLS:C0039070
6,,,UMLS:C0042571_vertigo,UMLS:C0020538,UMLS:C0042571
7,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0020538,UMLS:C0038990
8,,,UMLS:C0030252_palpitation,UMLS:C0020538,UMLS:C0030252
9,,,UMLS:C0027497_nausea,UMLS:C0020538,UMLS:C0027497
10,,,UMLS:C0002962_angina pectoris,UMLS:C0020538,UMLS:C0002962
11,,,UMLS:C0438716_pressure chest,UMLS:C0020538,UMLS:C0438716
12,UMLS:C0011847_diabetes,1421.0,UMLS:C0032617_polyuria,UMLS:C0011847,UMLS:C0032617
13,,,UMLS:C0085602_polydypsia,UMLS:C0011847,UMLS:C0085602
14,,,UMLS:C0392680_shortness of breath,UMLS:C0011847,UMLS:C0392680
15,,,UMLS:C0008031_pain chest,UMLS:C0011847,UMLS:C0008031
16,,,UMLS:C0004093_asthenia,UMLS:C0011847,UMLS:C0004093
17,,,UMLS:C0027497_nausea,UMLS:C0011847,UMLS:C0027497
18,,,UMLS:C0085619_orthopnea,UMLS:C0011847,UMLS:C0085619
19,,,UMLS:C0034642_rale,UMLS:C0011847,UMLS:C0034642
20,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0011847,UMLS:C0038990
21,,,UMLS:C0241526_unresponsiveness,UMLS:C0011847,UMLS:C0241526
22,,,UMLS:C0856054_mental status changes,UMLS:C0011847,UMLS:C0856054
23,,,UMLS:C0042571_vertigo,UMLS:C0011847,UMLS:C0042571
24,,,UMLS:C0042963_vomiting,UMLS:C0011847,UMLS:C0042963
25,,,UMLS:C0553668_labored breathing,UMLS:C0011847,UMLS:C0553668
26,UMLS:C0011570_depression mental^UMLS:C0011581_depressive disorder,1337.0,UMLS:C0424000_feeling suicidal,UMLS:C0011570,UMLS:C0424000
27,,,UMLS:C0438696_suicidal,UMLS:C0011570,UMLS:C0438696
28,,,UMLS:C0233762_hallucinations auditory,UMLS:C0011570,UMLS:C0233762
29,,,UMLS:C0150041_feeling hopeless,UMLS:C0011570,UMLS:C0150041
30,,,UMLS:C0424109_weepiness,UMLS:C0011570,UMLS:C0424109
31,,,UMLS:C0917801_sleeplessness,UMLS:C0011570,UMLS:C0917801
32,,,UMLS:C0424230_motor retardation,UMLS:C0011570,UMLS:C0424230
33,,,UMLS:C0022107_irritable mood,UMLS:C0011570,UMLS:C0022107
34,,,UMLS:C0312422_blackout,UMLS:C0011570,UMLS:C0312422
35,,,UMLS:C0344315_mood depressed,UMLS:C0011570,UMLS:C0344315
36,,,UMLS:C0233763_hallucinations visual,UMLS:C0011570,UMLS:C0233763
37,,,UMLS:C0233481_worry,UMLS:C0011570,UMLS:C0233481
38,,,UMLS:C0085631_agitation,UMLS:C0011570,UMLS:C0085631
39,,,UMLS:C0040822_tremor,UMLS:C0011570,UMLS:C0040822
40,,,UMLS:C0728899_intoxication,UMLS:C0011570,UMLS:C0728899
41,,,UMLS:C0424068_verbal auditory hallucinations,UMLS:C0011570,UMLS:C0424068
42,,,UMLS:C0455769_energy increased,UMLS:C0011570,UMLS:C0455769
43,,,UMLS:C1299586_difficulty,UMLS:C0011570,UMLS:C1299586
44,,,UMLS:C0028084_nightmare,UMLS:C0011570,UMLS:C0028084
45,,,UMLS:C0235198_unable to concentrate,UMLS:C0011570,UMLS:C0235198
46,,,UMLS:C0237154_homelessness,UMLS:C0011570,UMLS:C0237154
47,UMLS:C0010054_coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284.0,UMLS:C0008031_pain chest,UMLS:C0010054,UMLS:C0008031
48,,,UMLS:C0002962_angina pectoris,UMLS:C0010054,UMLS:C0002962
49,,,UMLS:C0392680_shortness of breath,UMLS:C0010054,UMLS:C0392680
50,,,UMLS:C0086439_hypokinesia,UMLS:C0010054,UMLS:C0086439
51,,,UMLS:C0038990_sweat^UMLS:C0700590_sweating increased,UMLS:C0010054,UMLS:C0038990
